Frequency_Hz,Absorption_W
100000000000000.0,2.0854638202138143e-15
101003344481605.34,2.1439615225085457e-15
102006688963210.7,2.205341966671481e-15
103010033444816.05,2.269861507260973e-15
104013377926421.4,2.337708141273337e-15
105016722408026.75,2.408962924713861e-15
106020066889632.11,2.483561062788955e-15
107023411371237.45,2.5612610586247353e-15
108026755852842.81,2.6416322987644477e-15
109030100334448.16,2.7240705022561627e-15
110033444816053.52,2.807845362224525e-15
111036789297658.86,2.8921760654151214e-15
112040133779264.22,2.9763211457351754e-15
113043478260869.56,3.059663552297285e-15
114046822742474.92,3.1417729471759498e-15
115050167224080.27,3.2224348568775668e-15
116053511705685.62,3.301646900415239e-15
117056856187290.97,3.379591375458909e-15
118060200668896.31,3.4565979665117263e-15
119063545150501.67,3.533109808653189e-15
120066889632107.03,3.609662177193159e-15
121070234113712.38,3.686877952885973e-15
122073578595317.72,3.7654795761489916e-15
123076923076923.08,3.846314255622404e-15
124080267558528.44,3.930387368360675e-15
125083612040133.78,4.018896954402885e-15
126086956521739.12,4.113258103499482e-15
127090301003344.48,4.215098032434623e-15
128093645484949.83,4.326190049074999e-15
129096989966555.19,4.448280279771992e-15
130100334448160.53,4.582756150692302e-15
131103678929765.89,4.730134354812962e-15
132107023411371.23,4.889440081911381e-15
133110367892976.6,5.057712216404615e-15
134113712374581.94,5.230010520295558e-15
135117056856187.28,5.4002232377366605e-15
136120401337792.64,5.56255496143836e-15
137123745819398.0,5.713052781329479e-15
138127090301003.34,5.8504111268057414e-15
139130434782608.69,5.975765371626207e-15
140133779264214.05,6.0918129764549515e-15
141137123745819.4,6.201868927173076e-15
142140468227424.75,6.3092929480179324e-15
143143812709030.1,6.417380803591142e-15
144147157190635.44,6.529551862376912e-15
145150501672240.8,6.649603898047765e-15
146153846153846.16,6.781889265644614e-15
147157190635451.5,6.931328465750723e-15
148160535117056.88,7.103097832464721e-15
149163879598662.22,7.301645736642625e-15
150167224080267.56,7.528617601871349e-15
151170568561872.9,7.779745826732195e-15
152173913043478.25,8.042275506219522e-15
153177257525083.62,8.29628551711634e-15
154180602006688.97,8.522001880838894e-15
155183946488294.3,8.709185762864065e-15
156187290969899.66,8.860861696848957e-15
157190635451505.0,8.98909269722888e-15
158193979933110.38,9.108123287690572e-15
159197324414715.72,9.230472513159407e-15
160200668896321.06,9.36680899536923e-15
161204013377926.44,9.527035649874721e-15
162207357859531.78,9.720070897547698e-15
163210702341137.12,9.951327471396093e-15
164214046822742.47,1.0217834178457076e-14
165217391304347.8,1.050306879391841e-14
166220735785953.2,1.077806441720252e-14
167224080267558.53,1.1014680345085766e-14
168227424749163.88,1.120304176027339e-14
169230769230769.25,1.1355714691090865e-14
170234113712374.56,1.1496661881733348e-14
171237458193979.94,1.1648873243778802e-14
172240802675585.28,1.1828381619419209e-14
173244147157190.62,1.2041385869429753e-14
174247491638796.0,1.2280897466414056e-14
175250836120401.34,1.2526307034121586e-14
176254180602006.7,1.2753054734280134e-14
177257525083612.06,1.2949753439267926e-14
178260869565217.38,1.3125799701921257e-14
179264214046822.75,1.330125500746131e-14
180267558528428.1,1.3491247959398327e-14
181270903010033.44,1.369728494798773e-14
182274247491638.8,1.3908185742632098e-14
183277591973244.12,1.4110201311799891e-14
184280936454849.5,1.429961645126021e-14
185284280936454.84,1.4484409433674036e-14
186287625418060.2,1.4673099953719054e-14
187290969899665.56,1.4865478568329678e-14
188294314381270.9,1.5055595590810564e-14
189297658862876.25,1.524059970836225e-14
190301003344481.62,1.542273374518296e-14
191304347826086.94,1.560363236204655e-14
192307692307692.3,1.578173955595061e-14
193311036789297.66,1.5955844074729923e-14
194314381270903.0,1.612661582216852e-14
195317725752508.38,1.6294132558914827e-14
196321070234113.72,1.6457278493812722e-14
197324414715719.06,1.6615289409999817e-14
198327759197324.44,1.676788538243091e-14
199331103678929.75,1.6914528010253427e-14
200334448160535.12,1.7054313793149892e-14
201337792642140.47,1.7186280557867527e-14
202341137123745.8,1.730948636817463e-14
203344481605351.2,1.7422895329132248e-14
204347826086956.5,1.7525693393889904e-14
205351170568561.88,1.7617937388968974e-14
206354515050167.22,1.7700732628715153e-14
207357859531772.56,1.777584690037938e-14
208361204013377.94,1.7845372119881754e-14
209364548494983.28,1.7911481924051796e-14
210367892976588.62,1.7976047671230032e-14
211371237458194.0,1.8040381839522687e-14
212374581939799.3,1.810525557486727e-14
213377926421404.7,1.8171031271116477e-14
214381270903010.03,1.823782235132631e-14
215384615384615.38,1.8305624472141836e-14
216387959866220.75,1.8374381212649822e-14
217391304347826.1,1.8443996375719573e-14
218394648829431.44,1.851439578043472e-14
219397993311036.8,1.858567632624629e-14
220401337792642.12,1.8658147845135915e-14
221404682274247.5,1.873227954404638e-14
222408026755852.84,1.880869128280573e-14
223411371237458.2,1.8888125135105603e-14
224414715719063.56,1.8971362242648365e-14
225418060200668.88,1.9059114227446315e-14
226421404682274.25,1.9151910050684016e-14
227424749163879.6,1.9249979756648755e-14
228428093645484.94,1.9353128666417256e-14
229431438127090.3,1.946060889841399e-14
230434782608695.66,1.9571022598821058e-14
231438127090301.0,1.9682315326972906e-14
232441471571906.38,1.9791905902325228e-14
233444816053511.7,1.9896929211008298e-14
234448160535117.06,1.999450991293491e-14
235451505016722.4,2.0082028910911775e-14
236454849498327.75,2.01574030981453e-14
237458193979933.12,2.0219355682638317e-14
238461538461538.47,2.0267598422917238e-14
239464882943143.8,2.0302869976248572e-14
240468227424749.16,2.0326834621129048e-14
241471571906354.5,2.0341890793832192e-14
242474916387959.88,2.0350956302587354e-14
243478260869565.22,2.0357291636126765e-14
