Frequency_Hz,Absorption_W
150000000000000.0,6.80247779403139e-17
151004016064257.03,6.959003988655577e-17
152008032128514.06,7.119386963552365e-17
153012048192771.1,7.283736143675943e-17
154016064257028.12,7.452163491834462e-17
155020080321285.12,7.624783514733035e-17
156024096385542.16,7.801713267732917e-17
157028112449799.2,7.983072358654034e-17
158032128514056.22,8.168982951010179e-17
159036144578313.25,8.359569767134468e-17
160040160642570.28,8.554960091723046e-17
161044176706827.3,8.755283776400122e-17
162048192771084.34,8.960673245984094e-17
163052208835341.38,9.171263507215561e-17
164056224899598.4,9.387192160788597e-17
165060240963855.44,9.608599417610207e-17
166064257028112.44,9.835628120296342e-17
167068273092369.47,1.006842377099531e-16
168072289156626.5,1.0307134566711851e-16
169076305220883.53,1.0551911443384434e-16
170080321285140.56,1.0802908130046318e-16
171084337349397.6,1.1060281214473608e-16
172088353413654.62,1.132419022179353e-16
173092369477911.66,1.1594797707590176e-16
174096385542168.7,1.187226936710473e-16
175100401606425.7,1.2156774162180152e-16
176104417670682.72,1.244848446764856e-16
177108433734939.75,1.274757623890138e-16
178112449799196.78,1.3054229202420434e-16
179116465863453.8,1.3368627071079268e-16
180120481927710.84,1.3690957786055562e-16
181124497991967.88,1.4021413787222053e-16
182128514056224.9,1.4360192313911177e-16
183132530120481.94,1.4707495737981947e-16
184136546184738.97,1.506353193115123e-16
185140562248996.0,1.542851466859965e-16
186144578313253.0,1.5802664070921456e-16
187148594377510.03,1.6186207086565104e-16
188152610441767.06,1.657937801701111e-16
189156626506024.1,1.698241908706907e-16
190160642570281.12,1.739558106283753e-16
191164658634538.16,1.7819123920089314e-16
192168674698795.2,1.8253317566105457e-16
193172690763052.22,1.8698442618317473e-16
194176706827309.25,1.9154791243513198e-16
195180722891566.25,1.9622668061866068e-16
196184738955823.3,2.0102391120635627e-16
197188755020080.3,2.0594292943095604e-16
198192771084337.34,2.1098721659125118e-16
199196787148594.38,2.1616042224879848e-16
200200803212851.4,2.214663774018535e-16
201204819277108.44,2.269091087371608e-16
202208835341365.47,2.3249285407677043e-16
203212851405622.5,2.382220791570811e-16
204216867469879.5,2.4410149590014466e-16
205220883534136.56,2.5013608236473113e-16
206224899598393.56,2.563311045965682e-16
207228915662650.6,2.626921406346526e-16
208232931726907.62,2.692251069747979e-16
209236947791164.66,2.7593628784339685e-16
210240963855421.7,2.8283236769543474e-16
211244979919678.72,2.899204674224948e-16
212248995983935.75,2.9720818484110254e-16
213253012048192.78,3.0470364013090736e-16
214257028112449.8,3.1241552700929797e-16
215261044176706.8,3.203531705662734e-16
216265060240963.84,3.285265928446891e-16
217269076305220.88,3.36946587440011e-16
218273092369477.9,3.456248046143501e-16
219277108433734.94,3.54573848676472e-16
220281124497991.97,3.638073896768456e-16
221285140562249.0,3.7334029180853005e-16
222289156626506.03,3.8318876129344646e-16
223293172690763.06,3.9337051697040654e-16
224297188755020.06,4.0390498728216686e-16
225301204819277.12,4.1481353787510916e-16
226305220883534.12,4.261197345563551e-16
227309236947791.2,4.378496468645441e-16
228313253012048.2,4.500321979427739e-16
229317269076305.22,4.626995666613939e-16
230321285140562.25,4.758876478785957e-16
231325301204819.28,4.896365761290233e-16
232329317269076.3,5.039913165706466e-16
233333333333333.3,5.190023242306715e-16
234337349397590.38,5.347262678105686e-16
235341365461847.38,5.512268066253996e-16
236345381526104.44,5.685753974408555e-16
237349397590361.44,5.868520904561764e-16
238353413654618.47,6.061462485420971e-16
239357429718875.5,6.265570889369442e-16
240361445783132.53,6.481938999109535e-16
241365461847389.56,6.711757252652957e-16
242369477911646.6,6.956302379791288e-16
243373493975903.62,7.216914463240407e-16
244377510040160.62,7.494958044819928e-16
245381526104417.7,7.791762600687777e-16
246385542168674.7,8.108538035785287e-16
247389558232931.75,8.446262469019856e-16
248393574297188.75,8.805543169927162e-16
249397590361445.78,9.186457626531664e-16
250401606425702.8,9.58839041515343e-16
251405622489959.84,1.0009891751453428e-15
252409638554216.88,1.044859265288873e-15
253413654618473.88,1.090121524611987e-15
254417670682730.94,1.1363710128334148e-15
255421686746987.94,1.1831533024172914e-15
256425702811245.0,1.2300042384068626e-15
257429718875502.0,1.2764966528201438e-15
258433734939759.03,1.3222866104515048e-15
259437751004016.06,1.3671515906554391e-15
260441767068273.1,1.4110152171100742e-15
261445783132530.12,1.4539569319681019e-15
262449799196787.16,1.4962088542729634e-15
263453815261044.2,1.5381444335679796e-15
264457831325301.2,1.5802634152999578e-15
265461847389558.25,1.6231747472496032e-15
266465863453815.25,1.6675735845609438e-15
267469879518072.3,1.7142012919855904e-15
268473895582329.3,1.7637703693083185e-15
269477911646586.34,1.8168347090033207e-15
270481927710843.38,1.8736003441081867e-15
271485943775100.4,1.933716777545776e-15
272489959839357.44,1.9961598844026762e-15
273493975903614.44,2.059354654921914e-15
274497991967871.5,2.1215896107471707e-15
275502008032128.5,2.1815456109162333e-15
276506024096385.56,2.2386124767628255e-15
