x,y,z,theta,ee_f0,ee_hw,ee_A,ee_B,ee_C,em_f0,em_hw,em_A,em_B,em_C,me_f0,me_hw,me_A,me_B,me_C,mm_f0,mm_hw,mm_A,mm_B,mm_C
0.0,0.0,0.0,0.0,240546266687926.56,13302754321364.586,38307471.51227326,7.812545197767156e-22,2.397361298092748e-36,215688511127644.6,14529125053973.85,6.292187548039529e-08,1.2468432800710436e-23,1.5526953913995777e-37,217530949594276.62,15503938192746.012,4.986239059436127e-08,9.569239864757951e-23,-1.7104467793296703e-37,249873944809166.94,15991156030821.814,9.629291228561931e-23,-9.19583400763482e-23,1.5226538034907248e-37
3e-07,0.0,0.0,0.0,220389102666133.28,14517329813631.316,27918646.86649261,3.276929720757749e-22,2.3444257000610027e-36,251470979840899.2,15990706129143.484,4.839126822806972e-08,7.937413229143349e-23,8.573552680144394e-38,191234448312056.3,14720761434273.303,6.165409795134848e-08,-9.381573834674735e-24,-3.4342695600884274e-37,198620862124239.44,15998560786103.549,8.676742432497034e-23,-6.645641465614106e-23,1.952838583701905e-37
6e-07,0.0,0.0,0.0,201173008155644.4,15901650197533.186,37526857.447894074,6.3730563801006675e-22,5.592273385227052e-36,267660118714293.88,15884652853888.95,6.086068359297105e-08,-6.310688947273198e-23,-1.9951040623904798e-38,237301490668130.28,15581284599516.19,4.580831700394989e-08,8.33324184365233e-23,-2.2144744400654354e-37,213191688012465.22,15696355244463.707,6.393895665554956e-23,-2.173782764950466e-23,1.595903502119289e-37
9e-07,0.0,0.0,0.0,220935381636623.84,15320309865573.03,39393491.69676033,8.151089642202496e-22,3.694030223548993e-36,226067033399933.3,14304574741712.479,4.438732201146392e-08,-2.18462984538764e-25,-7.94384756354387e-38,219249200716879.97,15568594008890.787,5.7722152597489895e-08,7.594379491955413e-24,-1.580865935242032e-37,223455075437304.94,15686793382304.691,6.872670413771883e-23,-8.679593315014354e-23,1.5939317100571264e-37
1.2e-06,0.0,0.0,0.0,222429301903770.94,16091603227999.074,32726660.021457918,4.942538425875251e-22,3.37938053585015e-36,196512905389164.12,15210261701718.375,4.913005435844412e-08,2.179096183712836e-24,-1.3213819704784992e-37,198110787492389.03,15408938184761.219,5.295915253718724e-08,5.0523589943495276e-23,-3.975217120670769e-37,255538661798873.97,14236388101681.76,7.314193656432667e-23,-8.058400428047837e-23,2.9945423825354036e-37
1.5e-06,0.0,0.0,0.0,214004430062438.97,14898389710753.346,38304924.418093584,7.537828994532867e-22,3.2430215139597956e-36,188593250905339.47,16021392277469.242,4.8543964139584184e-08,-4.461244157135223e-23,-1.5463535338344287e-37,220954546687025.44,13706723708710.56,5.684172111488183e-08,-1.0077055532377649e-23,-2.465811065582465e-37,210543110514888.12,14001841093396.594,8.829415180189542e-23,-1.1257273403754569e-23,1.711727752915097e-37
1.8e-06,0.0,0.0,0.0,216651326454339.3,15260825773256.486,30178997.876393057,7.25862530276006e-22,3.8030299043311784e-36,205783789260251.6,15574763154905.027,6.148695011626879e-08,3.798039190409702e-23,7.273890910853222e-37,251797834674157.12,13619813344477.148,5.8914275185753577e-08,1.2533588568416055e-23,-1.8294422696569432e-37,185667063238564.84,16665113056110.111,6.810833492531673e-23,-9.529195075054893e-23,1.2391271943404634e-37
2.1e-06,0.0,0.0,0.0,210478494336362.53,14149886847720.207,22956385.631658915,6.10287672349837e-22,3.245959121632228e-36,195213397744773.47,12629291780638.107,5.923688671089546e-08,-4.850147519432879e-23,-1.2142271821569852e-37,223193584681779.4,15067502193489.664,6.688862655582713e-08,2.673882744758684e-23,-4.638500614250016e-37,252757049005744.44,17268831074398.033,6.832319743123922e-23,-8.865529225465001e-23,6.916740321704937e-38
2.4e-06,0.0,0.0,0.0,223348962815047.0,15830300464637.605,31758003.235741075,7.548881882847474e-22,4.810113265600858e-36,251939055964763.72,15132198177830.482,5.316468401185136e-08,7.56002902725679e-23,3.921270951017186e-37,222588229156068.34,14984552019910.135,4.499421979714968e-08,6.654723270523135e-23,-5.130484257534999e-37,223057845832805.84,17894029089801.652,9.618226363867295e-23,-6.872552400336476e-23,2.411212706549801e-37
2.7e-06,0.0,0.0,0.0,221654719150780.5,16990133780918.049,32482896.298895307,6.924340844273955e-22,2.5779326634713953e-36,221055715828784.84,15643228747247.535,3.4166588915346054e-08,-4.541131205185731e-23,-7.684476367642424e-38,250609805145066.66,17736536488301.8,5.961784972983031e-08,1.327443464348212e-23,1.9196989867361457e-37,238382132154658.2,15300657273704.805,6.596469762193471e-23,-3.9148884328128824e-23,1.4880624629712073e-37
