perturbation	frequency	transmission	reflection
4.0000E-8	250.00	0.010870	0.96774
4.0000E-8	260.00	0.015563	0.95280
4.0000E-8	270.00	0.023836	0.92606
4.0000E-8	280.00	0.040118	0.87139
4.0000E-8	290.00	0.075997	0.74565
4.0000E-8	300.00	0.15000	0.47609
4.0000E-8	310.00	0.18375	0.33699
4.0000E-8	320.00	0.10302	0.61787
4.0000E-8	330.00	0.048809	0.81100
4.0000E-8	340.00	0.025011	0.89520
4.0000E-8	350.00	0.013968	0.93402
6.0000E-8	250.00	0.011036	0.96725
6.0000E-8	260.00	0.015846	0.95195
6.0000E-8	270.00	0.024369	0.92441
6.0000E-8	280.00	0.041249	0.86776
6.0000E-8	290.00	0.078649	0.73673
6.0000E-8	300.00	0.15440	0.46030
6.0000E-8	310.00	0.18123	0.34513
6.0000E-8	320.00	0.099576	0.63053
6.0000E-8	330.00	0.047337	0.81671
6.0000E-8	340.00	0.024407	0.89775
6.0000E-8	350.00	0.013698	0.93531
8.0000E-8	250.00	0.011355	0.96628
8.0000E-8	260.00	0.016396	0.95025
8.0000E-8	270.00	0.025412	0.92112
8.0000E-8	280.00	0.043490	0.86043
8.0000E-8	290.00	0.083907	0.71856
8.0000E-8	300.00	0.16167	0.43139
8.0000E-8	310.00	0.17430	0.36433
8.0000E-8	320.00	0.093664	0.65147
8.0000E-8	330.00	0.044878	0.82605
8.0000E-8	340.00	0.023394	0.90196
8.0000E-8	350.00	0.013246	0.93746
4.0000E-8	272.00	0.026228	0.91820
4.0000E-8	274.00	0.028975	0.90909
4.0000E-8	276.00	0.032147	0.89847
4.0000E-8	278.00	0.035827	0.88603
4.0000E-8	282.00	0.045145	0.85409
4.0000E-8	284.00	0.051055	0.83359
4.0000E-8	286.00	0.058029	0.80921
4.0000E-8	288.00	0.066269	0.78018
4.0000E-8	292.00	0.087428	0.70477
4.0000E-8	294.00	0.10072	0.65688
4.0000E-8	296.00	0.11587	0.60185
4.0000E-8	298.00	0.13257	0.54064
4.0000E-8	302.00	0.16664	0.41354
4.0000E-8	304.00	0.18032	0.36088
4.0000E-8	306.00	0.18868	0.32692
4.0000E-8	308.00	0.18995	0.31840
4.0000E-8	312.00	0.17134	0.37851
4.0000E-8	314.00	0.15497	0.43492
4.0000E-8	316.00	0.13703	0.49767
4.0000E-8	318.00	0.11934	0.56003
4.0000E-8	322.00	0.088563	0.66929
4.0000E-8	324.00	0.076070	0.71381
4.0000E-8	326.00	0.065424	0.75178
4.0000E-8	328.00	0.056415	0.78391
4.0000E-8	332.00	0.042385	0.83385
6.0000E-8	272.00	0.026840	0.91629
6.0000E-8	274.00	0.029683	0.90686
6.0000E-8	276.00	0.032971	0.89587
6.0000E-8	278.00	0.036790	0.88296
6.0000E-8	282.00	0.046479	0.84978
6.0000E-8	284.00	0.052637	0.82842
6.0000E-8	286.00	0.059908	0.80301
6.0000E-8	288.00	0.068504	0.77274
6.0000E-8	292.00	0.090552	0.69416
6.0000E-8	294.00	0.10434	0.64444
6.0000E-8	296.00	0.11996	0.58764
6.0000E-8	298.00	0.13698	0.52511
6.0000E-8	302.00	0.17051	0.39929
6.0000E-8	304.00	0.18302	0.35047
6.0000E-8	306.00	0.18966	0.32238
6.0000E-8	308.00	0.18904	0.32056
6.0000E-8	312.00	0.16774	0.39085
6.0000E-8	314.00	0.15087	0.44940
6.0000E-8	316.00	0.13289	0.51252
6.0000E-8	318.00	0.11547	0.57409
6.0000E-8	322.00	0.085588	0.68033
6.0000E-8	324.00	0.073546	0.72326
6.0000E-8	326.00	0.063306	0.75979
6.0000E-8	328.00	0.054647	0.79067
6.0000E-8	332.00	0.041159	0.83867
8.0000E-8	272.00	0.028043	0.91247
8.0000E-8	274.00	0.031078	0.90241
8.0000E-8	276.00	0.034596	0.89063
8.0000E-8	278.00	0.038694	0.87679
8.0000E-8	282.00	0.049130	0.84102
8.0000E-8	284.00	0.055783	0.81793
8.0000E-8	286.00	0.063649	0.79040
8.0000E-8	288.00	0.072950	0.75757
8.0000E-8	292.00	0.096701	0.67259
8.0000E-8	294.00	0.11138	0.61933
8.0000E-8	296.00	0.12770	0.55939
8.0000E-8	298.00	0.14493	0.49512
8.0000E-8	302.00	0.17580	0.37575
8.0000E-8	304.00	0.18506	0.33684
8.0000E-8	306.00	0.18793	0.32127
8.0000E-8	308.00	0.18413	0.33115
8.0000E-8	312.00	0.15987	0.41505
8.0000E-8	314.00	0.14289	0.47545
8.0000E-8	316.00	0.12535	0.53807
8.0000E-8	318.00	0.10869	0.59768
8.0000E-8	322.00	0.080546	0.69847
8.0000E-8	324.00	0.069303	0.73874
8.0000E-8	326.00	0.059760	0.77290
8.0000E-8	328.00	0.051693	0.80174
8.0000E-8	332.00	0.039109	0.84657
