frequency	R	T
250.00	0.012442	0.96285
252.00	0.013371	0.95988
254.00	0.014405	0.95657
256.00	0.015557	0.95289
258.00	0.016847	0.94876
260.00	0.018297	0.94410
262.00	0.019935	0.93883
264.00	0.021792	0.93282
266.00	0.023908	0.92593
268.00	0.026332	0.91800
270.00	0.029121	0.90879
272.00	0.032349	0.89804
274.00	0.036104	0.88542
276.00	0.040494	0.87049
278.00	0.045650	0.85275
280.00	0.051731	0.83157
282.00	0.058920	0.80619
284.00	0.067422	0.77575
286.00	0.077439	0.73930
288.00	0.089123	0.69595
290.00	0.10247	0.64521
292.00	0.11714	0.58757
294.00	0.13217	0.52553
296.00	0.14577	0.46461
298.00	0.15552	0.41332
300.00	0.15964	0.37985
302.00	0.15885	0.36596
304.00	0.15646	0.36536
306.00	0.15474	0.37260
308.00	0.15218	0.39072
310.00	0.14595	0.42499
312.00	0.13531	0.47421
314.00	0.12174	0.53154
316.00	0.10726	0.58975
318.00	0.093327	0.64404
320.00	0.080725	0.69219
322.00	0.069711	0.73371
324.00	0.060260	0.76896
326.00	0.052224	0.79868
328.00	0.045411	0.82369
330.00	0.039635	0.84475
332.00	0.034724	0.86253
334.00	0.030535	0.87760
336.00	0.026945	0.89041
338.00	0.023857	0.90135
340.00	0.021190	0.91074
342.00	0.018881	0.91884
344.00	0.016875	0.92586
346.00	0.015125	0.93198
348.00	0.013593	0.93734
350.00	0.012248	0.94206
