frequency	R	T
250.00	0.010755	0.96808
252.00	0.011501	0.96570
254.00	0.012323	0.96309
256.00	0.013233	0.96020
258.00	0.014242	0.95699
260.00	0.015366	0.95340
262.00	0.016623	0.94938
264.00	0.018033	0.94485
266.00	0.019623	0.93973
268.00	0.021421	0.93389
270.00	0.023466	0.92721
272.00	0.025802	0.91953
274.00	0.028482	0.91063
276.00	0.031575	0.90027
278.00	0.035159	0.88815
280.00	0.039334	0.87390
282.00	0.044219	0.85709
284.00	0.049959	0.83716
286.00	0.056726	0.81349
288.00	0.064718	0.78532
290.00	0.074155	0.75181
292.00	0.085253	0.71211
294.00	0.098183	0.66552
296.00	0.11298	0.61179
298.00	0.12941	0.55163
300.00	0.14674	0.48750
302.00	0.16362	0.42424
304.00	0.17797	0.36931
306.00	0.18743	0.33152
308.00	0.19004	0.31821
310.00	0.18513	0.33214
312.00	0.17368	0.37009
314.00	0.15785	0.42447
316.00	0.14005	0.48661
318.00	0.12223	0.54937
320.00	0.10563	0.60819
322.00	0.090834	0.66078
324.00	0.078005	0.70650
326.00	0.067052	0.74557
328.00	0.057775	0.77867
330.00	0.049943	0.80659
332.00	0.043330	0.83012
334.00	0.037735	0.84999
336.00	0.032984	0.86679
338.00	0.028936	0.88106
340.00	0.025476	0.89323
342.00	0.022509	0.90364
344.00	0.019956	0.91261
346.00	0.017751	0.92037
348.00	0.015839	0.92712
350.00	0.014175	0.93302
