frequency,R,T
2.500000e+14,1.300802e-02,9.612604e-01
2.520408e+14,1.399249e-02,9.582724e-01
2.540816e+14,1.508790e-02,9.549477e-01
2.561224e+14,1.631071e-02,9.512133e-01
2.581633e+14,1.767909e-02,9.469854e-01
2.602041e+14,1.921251e-02,9.421726e-01
2.622449e+14,2.093142e-02,9.366878e-01
2.642857e+14,2.285982e-02,9.304663e-01
2.663265e+14,2.503343e-02,9.234541e-01
2.683673e+14,2.750784e-02,9.155398e-01
2.704082e+14,3.035547e-02,9.064947e-01
2.724490e+14,3.365637e-02,8.959885e-01
2.744898e+14,3.749453e-02,8.836365e-01
2.765306e+14,4.195828e-02,8.690321e-01
2.785714e+14,4.714476e-02,8.517832e-01
2.806122e+14,5.318260e-02,8.315096e-01
2.826531e+14,6.027029e-02,8.076853e-01
2.846939e+14,6.867159e-02,7.794409e-01
2.867347e+14,7.864494e-02,7.456642e-01
2.887755e+14,9.037934e-02,7.053419e-01
2.908163e+14,1.039751e-01,6.578188e-01
2.928571e+14,1.193903e-01,6.029525e-01
2.948980e+14,1.362182e-01,5.416530e-01
2.969388e+14,1.533682e-01,4.769745e-01
2.989796e+14,1.688790e-01,4.150312e-01
3.010204e+14,1.801927e-01,3.645881e-01
3.030612e+14,1.853556e-01,3.338347e-01
3.051020e+14,1.845650e-01,3.254969e-01
3.071429e+14,1.795917e-01,3.369292e-01
3.091837e+14,1.710673e-01,3.661673e-01
3.112245e+14,1.585243e-01,4.120921e-01
3.132653e+14,1.426755e-01,4.698121e-01
3.153061e+14,1.254453e-01,5.317960e-01
3.173469e+14,1.086536e-01,5.917389e-01
3.193878e+14,9.338375e-02,6.460744e-01
3.214286e+14,8.005452e-02,6.934930e-01
3.234694e+14,6.868180e-02,7.340142e-01
3.255102e+14,5.909059e-02,7.682781e-01
3.275510e+14,5.104030e-02,7.971344e-01
3.295918e+14,4.428705e-02,8.214379e-01
3.316327e+14,3.860999e-02,8.419622e-01
3.336735e+14,3.381959e-02,8.593706e-01
3.357143e+14,2.975790e-02,8.742142e-01
3.377551e+14,2.629555e-02,8.869417e-01
3.397959e+14,2.332777e-02,8.979135e-01
3.418367e+14,2.077027e-02,9.074183e-01
3.438776e+14,1.855535e-02,9.156884e-01
3.459184e+14,1.662839e-02,9.229143e-01
3.479592e+14,1.494492e-02,9.292547e-01
3.500000e+14,1.346824e-02,9.348441e-01
