frequency,R,T
2.500000e+14,1.167336e-02,9.654647e-01
2.520408e+14,1.250947e-02,9.629223e-01
2.540816e+14,1.343360e-02,9.601239e-01
2.561224e+14,1.445926e-02,9.570082e-01
2.581633e+14,1.560011e-02,9.535030e-01
2.602041e+14,1.686964e-02,9.495395e-01
2.622449e+14,1.828273e-02,9.450629e-01
2.642857e+14,1.985883e-02,9.400292e-01
2.663265e+14,2.162528e-02,9.343855e-01
2.683673e+14,2.361955e-02,9.280448e-01
2.704082e+14,2.589012e-02,9.208633e-01
2.724490e+14,2.849487e-02,9.126225e-01
2.744898e+14,3.149560e-02,9.030390e-01
2.765306e+14,3.495308e-02,8.918181e-01
2.785714e+14,3.893530e-02,8.787048e-01
2.806122e+14,4.353953e-02,8.634408e-01
2.826531e+14,4.891020e-02,8.456423e-01
2.846939e+14,5.523833e-02,8.246945e-01
2.867347e+14,6.273290e-02,7.997576e-01
2.887755e+14,7.158560e-02,7.699658e-01
2.908163e+14,8.199795e-02,7.345490e-01
2.928571e+14,9.420452e-02,6.926892e-01
2.948980e+14,1.083742e-01,6.436537e-01
2.969388e+14,1.244737e-01,5.873118e-01
2.989796e+14,1.421092e-01,5.247512e-01
3.010204e+14,1.603002e-01,4.590867e-01
3.030612e+14,1.772907e-01,3.961924e-01
3.051020e+14,1.906085e-01,3.446183e-01
3.071429e+14,1.976218e-01,3.137843e-01
3.091837e+14,1.965756e-01,3.104143e-01
3.112245e+14,1.875051e-01,3.351989e-01
3.132653e+14,1.722673e-01,3.823991e-01
3.153061e+14,1.536309e-01,4.427897e-01
3.173469e+14,1.341718e-01,5.074569e-01
3.193878e+14,1.156691e-01,5.700182e-01
3.214286e+14,9.905704e-02,6.269372e-01
3.234694e+14,8.465174e-02,6.768384e-01
3.255102e+14,7.240843e-02,7.196547e-01
3.275510e+14,6.211188e-02,7.559720e-01
3.295918e+14,5.349040e-02,7.866239e-01
3.316327e+14,4.627431e-02,8.124749e-01
3.336735e+14,4.022145e-02,8.343200e-01
3.357143e+14,3.512520e-02,8.528469e-01
3.377551e+14,3.081423e-02,8.686310e-01
3.397959e+14,2.714878e-02,8.821440e-01
3.418367e+14,2.401582e-02,8.937697e-01
3.438776e+14,2.132424e-02,9.038199e-01
3.459184e+14,1.900044e-02,9.125493e-01
3.479592e+14,1.698468e-02,9.201675e-01
3.500000e+14,1.522815e-02,9.268481e-01
