frequency,R,T
2.500000e+14,1.194052e-02,9.645619e-01
2.520408e+14,1.280594e-02,9.619344e-01
2.540816e+14,1.376429e-02,9.590325e-01
2.561224e+14,1.482935e-02,9.557923e-01
2.581633e+14,1.601555e-02,9.521410e-01
2.602041e+14,1.733778e-02,9.480045e-01
2.622449e+14,1.881176e-02,9.433181e-01
2.642857e+14,2.045682e-02,9.380351e-01
2.663265e+14,2.230113e-02,9.321113e-01
2.683673e+14,2.438629e-02,9.254634e-01
2.704082e+14,2.676690e-02,9.179283e-01
2.724490e+14,2.950575e-02,9.092576e-01
2.744898e+14,3.266857e-02,8.991443e-01
2.765306e+14,3.632145e-02,8.872683e-01
2.785714e+14,4.053614e-02,8.733426e-01
2.806122e+14,4.541127e-02,8.570998e-01
2.826531e+14,5.110098e-02,8.381596e-01
2.846939e+14,5.781754e-02,8.158623e-01
2.867347e+14,6.578926e-02,7.892850e-01
2.887755e+14,7.521522e-02,7.574895e-01
2.908163e+14,8.628454e-02,7.196969e-01
2.928571e+14,9.920691e-02,6.751734e-01
2.948980e+14,1.141045e-01,6.233478e-01
2.969388e+14,1.308271e-01,5.644475e-01
2.989796e+14,1.487681e-01,5.002533e-01
3.010204e+14,1.666431e-01,4.349186e-01
3.030612e+14,1.823812e-01,3.754645e-01
3.051020e+14,1.933846e-01,3.310368e-01
3.071429e+14,1.973264e-01,3.102584e-01
3.091837e+14,1.932080e-01,3.175049e-01
3.112245e+14,1.818568e-01,3.508097e-01
3.132653e+14,1.654485e-01,4.030958e-01
3.153061e+14,1.465858e-01,4.653414e-01
3.173469e+14,1.275144e-01,5.295462e-01
3.193878e+14,1.097153e-01,5.903039e-01
3.214286e+14,9.391271e-02,6.448401e-01
3.234694e+14,8.029783e-02,6.922655e-01
3.255102e+14,6.876555e-02,7.327704e-01
3.275510e+14,5.908042e-02,7.670479e-01
3.295918e+14,5.097168e-02,7.959552e-01
3.316327e+14,4.417984e-02,8.203406e-01
3.336735e+14,3.847568e-02,8.409669e-01
3.357143e+14,3.366520e-02,8.584862e-01
3.377551e+14,2.958824e-02,8.734392e-01
3.397959e+14,2.611453e-02,8.862663e-01
3.418367e+14,2.313904e-02,8.973237e-01
3.438776e+14,2.057730e-02,9.068994e-01
3.459184e+14,1.836118e-02,9.152290e-01
3.479592e+14,1.643540e-02,9.225076e-01
3.500000e+14,1.475462e-02,9.288979e-01
