frequency,r,t
2.500000e+14,-2.368931e-02+1.066740e-01j,9.763107e-01+1.066740e-01j
2.520408e+14,-2.543575e-02+1.102677e-01j,9.745643e-01+1.102677e-01j
2.540816e+14,-2.736588e-02+1.140851e-01j,9.726341e-01+1.140851e-01j
2.561224e+14,-2.951854e-02+1.181440e-01j,9.704815e-01+1.181440e-01j
2.581633e+14,-3.193726e-02+1.224564e-01j,9.680627e-01+1.224564e-01j
2.602041e+14,-3.466665e-02+1.270276e-01j,9.653334e-01+1.270276e-01j
2.622449e+14,-3.774681e-02+1.318596e-01j,9.622532e-01+1.318596e-01j
2.642857e+14,-4.121087e-02+1.369616e-01j,9.587891e-01+1.369616e-01j
2.663265e+14,-4.509491e-02+1.423642e-01j,9.549051e-01+1.423642e-01j
2.683673e+14,-4.946145e-02+1.481211e-01j,9.505386e-01+1.481211e-01j
2.704082e+14,-5.441931e-02+1.542901e-01j,9.455807e-01+1.542901e-01j
2.724490e+14,-6.012409e-02+1.609063e-01j,9.398759e-01+1.609063e-01j
2.744898e+14,-6.676216e-02+1.679625e-01j,9.332378e-01+1.679625e-01j
2.765306e+14,-7.452655e-02+1.754059e-01j,9.254735e-01+1.754059e-01j
2.785714e+14,-8.359675e-02+1.831604e-01j,9.164032e-01+1.831604e-01j
2.806122e+14,-9.415571e-02+1.911700e-01j,9.058443e-01+1.911700e-01j
2.826531e+14,-1.064707e-01+1.994116e-01j,8.935293e-01+1.994116e-01j
2.846939e+14,-1.209776e-01+2.078027e-01j,8.790224e-01+2.078027e-01j
2.867347e+14,-1.382521e-01+2.160454e-01j,8.617479e-01+2.160454e-01j
2.887755e+14,-1.588628e-01+2.235572e-01j,8.411372e-01+2.235572e-01j
2.908163e+14,-1.832938e-01+2.295385e-01j,8.167062e-01+2.295385e-01j
2.928571e+14,-2.120168e-01+2.329288e-01j,7.879832e-01+2.329288e-01j
2.948980e+14,-2.453784e-01+2.321508e-01j,7.546216e-01+2.321508e-01j
2.969388e+14,-2.831898e-01+2.250125e-01j,7.168102e-01+2.250125e-01j
2.989796e+14,-3.242574e-01+2.088666e-01j,6.757426e-01+2.088666e-01j
3.010204e+14,-3.658622e-01+1.810743e-01j,6.341378e-01+1.810743e-01j
3.030612e+14,-4.034583e-01+1.400091e-01j,5.965417e-01+1.400091e-01j
3.051020e+14,-4.311739e-01+8.645030e-02j,5.688261e-01+8.645030e-02j
3.071429e+14,-4.435340e-01+2.457621e-02j,5.564660e-01+2.457621e-02j
3.091837e+14,-4.378516e-01-3.865296e-02j,5.621484e-01-3.865296e-02j
3.112245e+14,-4.155235e-01-9.590066e-02j,5.844765e-01-9.590066e-02j
3.132653e+14,-3.811763e-01-1.419614e-01j,6.188237e-01-1.419614e-01j
3.153061e+14,-3.406222e-01-1.748209e-01j,6.593778e-01-1.748209e-01j
3.173469e+14,-2.989841e-01-1.952508e-01j,7.010159e-01-1.952508e-01j
3.193878e+14,-2.597057e-01-2.055925e-01j,7.402943e-01-2.055925e-01j
3.214286e+14,-2.245363e-01-2.085573e-01j,7.754637e-01-2.085573e-01j
3.234694e+14,-1.940162e-01-2.065322e-01j,8.059838e-01-2.065322e-01j
3.255102e+14,-1.679976e-01-2.013513e-01j,8.320024e-01-2.013513e-01j
3.275510e+14,-1.460163e-01-1.943185e-01j,8.539837e-01-1.943185e-01j
3.295918e+14,-1.275082e-01-1.863151e-01j,8.724918e-01-1.863151e-01j
3.316327e+14,-1.119196e-01-1.779153e-01j,8.880804e-01-1.779153e-01j
3.336735e+14,-9.875440e-02-1.694794e-01j,9.012456e-01-1.694794e-01j
3.357143e+14,-8.758952e-02-1.612243e-01j,9.124105e-01-1.612243e-01j
3.377551e+14,-7.807454e-02-1.532730e-01j,9.219255e-01-1.532730e-01j
3.397959e+14,-6.992410e-02-1.456885e-01j,9.300759e-01-1.456885e-01j
3.418367e+14,-6.290769e-02-1.384979e-01j,9.370923e-01-1.384979e-01j
3.438776e+14,-5.683895e-02-1.317066e-01j,9.431610e-01-1.317066e-01j
3.459184e+14,-5.156607e-02-1.253081e-01j,9.484339e-01-1.253081e-01j
3.479592e+14,-4.696392e-02-1.192887e-01j,9.530361e-01-1.192887e-01j
3.500000e+14,-4.292834e-02-1.136300e-01j,9.570717e-01-1.136300e-01j
