frequency	reflection	transmission	perturbation
250.00	-0.020121+0.10174i	0.97868+0.10134i	0.0000
252.00	-0.021632+0.10504i	0.97712+0.10462i	0.0000
254.00	-0.023298+0.10854i	0.97540+0.10810i	0.0000
256.00	-0.025144+0.11225i	0.97350+0.11179i	0.0000
258.00	-0.027196+0.11620i	0.97139+0.11571i	0.0000
260.00	-0.029487+0.12040i	0.96904+0.11988i	0.0000
262.00	-0.032058+0.12488i	0.96640+0.12432i	0.0000
264.00	-0.034955+0.12966i	0.96343+0.12906i	0.0000
266.00	-0.038237+0.13476i	0.96007+0.13411i	0.0000
268.00	-0.041972+0.14021i	0.95626+0.13951i	0.0000
270.00	-0.046245+0.14604i	0.95190+0.14528i	0.0000
272.00	-0.051162+0.15226i	0.94689+0.15143i	0.0000
274.00	-0.056849+0.15890i	0.94110+0.15800i	0.0000
276.00	-0.063466+0.16597i	0.93438+0.16497i	0.0000
278.00	-0.071205+0.17346i	0.92652+0.17235i	0.0000
280.00	-0.080295+0.18135i	0.91731+0.18011i	0.0000
282.00	-0.091020+0.18956i	0.90646+0.18817i	0.0000
284.00	-0.10372+0.19799i	0.89363+0.19642i	0.0000
286.00	-0.11881+0.20642i	0.87841+0.20464i	0.0000
288.00	-0.13676+0.21451i	0.86033+0.21247i	0.0000
290.00	-0.15812+0.22171i	0.83886+0.21936i	0.0000
292.00	-0.18342+0.22718i	0.81347+0.22446i	0.0000
294.00	-0.21312+0.22970i	0.78371+0.22655i	0.0000
296.00	-0.24740+0.22754i	0.74944+0.22389i	0.0000
298.00	-0.28580+0.21845i	0.71115+0.21424i	0.0000
300.00	-0.32679+0.19988i	0.67041+0.19506i	0.0000
302.00	-0.36728+0.16948i	0.63034+0.16405i	0.0000
304.00	-0.40254+0.12624i	0.59569+0.12027i	0.0000
306.00	-0.42695+0.071709i	0.57205+0.065356i	0.0000
308.00	-0.43581+0.010520i	0.56409+0.0040018i	0.0000
310.00	-0.42729-0.050506i	0.57350-0.056936i	0.0000
312.00	-0.40340-0.10462i	0.59818-0.11074i	0.0000
314.00	-0.36894-0.14740i	0.63328-0.15304i	0.0000
316.00	-0.32944-0.17753i	0.67325-0.18261i	0.0000
318.00	-0.28945-0.19609i	0.71354-0.20060i	0.0000
320.00	-0.25190-0.20537i	0.75124-0.20934i	0.0000
322.00	-0.21826-0.20784i	0.78494-0.21132i	0.0000
324.00	-0.18897-0.20566i	0.81421-0.20872i	0.0000
326.00	-0.16389-0.20048i	0.83922-0.20317i	0.0000
328.00	-0.14261-0.19349i	0.86041-0.19586i	0.0000
330.00	-0.12463-0.18550i	0.87829-0.18761i	0.0000
332.00	-0.10944-0.17707i	0.89336-0.17895i	0.0000
334.00	-0.096587-0.16854i	0.90609-0.17023i	0.0000
336.00	-0.085688-0.16013i	0.91687-0.16166i	0.0000
338.00	-0.076412-0.15198i	0.92604-0.15337i	0.0000
340.00	-0.068487-0.14417i	0.93385-0.14544i	0.0000
342.00	-0.061688-0.13676i	0.94054-0.13793i	0.0000
344.00	-0.055826-0.12977i	0.94630-0.13085i	0.0000
346.00	-0.050748-0.12319i	0.95128-0.12420i	0.0000
348.00	-0.046326-0.11702i	0.95562-0.11796i	0.0000
350.00	-0.042456-0.11123i	0.95940-0.11211i	0.0000
