frequency,r,t
2.500000e+14,-2.587380e-02+1.110791e-01j,9.741262e-01+1.110791e-01j
2.520408e+14,-2.786007e-02+1.149622e-01j,9.721399e-01+1.149622e-01j
2.540816e+14,-3.007009e-02+1.190953e-01j,9.699299e-01+1.190953e-01j
2.561224e+14,-3.254871e-02+1.234961e-01j,9.674513e-01+1.234961e-01j
2.581633e+14,-3.534685e-02+1.281784e-01j,9.646531e-01+1.281784e-01j
2.602041e+14,-3.851998e-02+1.331492e-01j,9.614800e-01+1.331492e-01j
2.622449e+14,-4.212181e-02+1.384095e-01j,9.578782e-01+1.384095e-01j
2.642857e+14,-4.619677e-02+1.439642e-01j,9.538032e-01+1.439642e-01j
2.663265e+14,-5.078969e-02+1.498460e-01j,9.492103e-01+1.498460e-01j
2.683673e+14,-5.598400e-02+1.561206e-01j,9.440160e-01+1.561206e-01j
2.704082e+14,-6.193040e-02+1.628499e-01j,9.380696e-01+1.628499e-01j
2.724490e+14,-6.883391e-02+1.700537e-01j,9.311661e-01+1.700537e-01j
2.744898e+14,-7.692901e-02+1.776976e-01j,9.230710e-01+1.776976e-01j
2.765306e+14,-8.646311e-02+1.856944e-01j,9.135369e-01+1.856944e-01j
2.785714e+14,-9.768077e-02+1.939155e-01j,9.023192e-01+1.939155e-01j
2.806122e+14,-1.108365e-01+2.022322e-01j,8.891635e-01+2.022322e-01j
2.826531e+14,-1.262925e-01+2.105243e-01j,8.737075e-01+2.105243e-01j
2.846939e+14,-1.446153e-01+2.185360e-01j,8.553847e-01+2.185360e-01j
2.867347e+14,-1.664904e-01+2.256677e-01j,8.335096e-01+2.256677e-01j
2.887755e+14,-1.925187e-01+2.309023e-01j,8.074813e-01+2.309023e-01j
2.908163e+14,-2.230781e-01+2.328331e-01j,7.769219e-01+2.328331e-01j
2.928571e+14,-2.582189e-01+2.295939e-01j,7.417811e-01+2.295939e-01j
2.948980e+14,-2.972826e-01+2.187265e-01j,7.027174e-01+2.187265e-01j
2.969388e+14,-3.381969e-01+1.974617e-01j,6.618031e-01+1.974617e-01j
2.989796e+14,-3.769239e-01+1.637296e-01j,6.230761e-01+1.637296e-01j
3.010204e+14,-4.078023e-01+1.178559e-01j,5.921977e-01+1.178559e-01j
3.030612e+14,-4.257605e-01+6.390311e-02j,5.742395e-01+6.390311e-02j
3.051020e+14,-4.295341e-01+8.092703e-03j,5.704659e-01+8.092703e-03j
3.071429e+14,-4.213313e-01-4.551573e-02j,5.786687e-01-4.551573e-02j
3.091837e+14,-4.024500e-01-9.540065e-02j,5.975500e-01-9.540065e-02j
3.112245e+14,-3.732161e-01-1.386869e-01j,6.267839e-01-1.386869e-01j
3.132653e+14,-3.364317e-01-1.717243e-01j,6.635683e-01-1.717243e-01j
3.153061e+14,-2.968247e-01-1.932367e-01j,7.031753e-01-1.932367e-01j
3.173469e+14,-2.584573e-01-2.045810e-01j,7.415427e-01-2.045810e-01j
3.193878e+14,-2.236547e-01-2.082362e-01j,7.763453e-01-2.082362e-01j
3.214286e+14,-1.932808e-01-2.066327e-01j,8.067192e-01-2.066327e-01j
3.234694e+14,-1.673338e-01-2.016958e-01j,8.326662e-01-2.016958e-01j
3.255102e+14,-1.454062e-01-1.948015e-01j,8.545938e-01-1.948015e-01j
3.275510e+14,-1.269530e-01-1.868776e-01j,8.730470e-01-1.868776e-01j
3.295918e+14,-1.114246e-01-1.785262e-01j,8.885754e-01-1.785262e-01j
3.316327e+14,-9.832391e-02-1.701246e-01j,9.016761e-01-1.701246e-01j
3.336735e+14,-8.722451e-02-1.618996e-01j,9.127755e-01-1.618996e-01j
3.357143e+14,-7.777185e-02-1.539787e-01j,9.222282e-01-1.539787e-01j
3.377551e+14,-6.967694e-02-1.464263e-01j,9.303231e-01-1.464263e-01j
3.397959e+14,-6.270714e-02-1.392680e-01j,9.372929e-01-1.392680e-01j
3.418367e+14,-5.667601e-02-1.325070e-01j,9.433240e-01-1.325070e-01j
3.438776e+14,-5.143345e-02-1.261346e-01j,9.485665e-01-1.261346e-01j
3.459184e+14,-4.685704e-02-1.201366e-01j,9.531430e-01-1.201366e-01j
3.479592e+14,-4.284513e-02-1.144955e-01j,9.571549e-01-1.144955e-01j
3.500000e+14,-3.931209e-02-1.091916e-01j,9.606879e-01-1.091916e-01j
