Re_px,Im_px,Re_py,Im_py,Re_pz,Im_pz
-4.793250707e-34,1.520623659e-33,-1.467549257e-35,-2.620593188e-35,-0.000000000e+00,0.000000000e+00
-4.658933053e-34,1.514972172e-33,6.203704511e-37,-1.376679253e-35,-0.000000000e+00,0.000000000e+00
-4.577357075e-34,1.510358734e-33,4.792781965e-36,-6.672567683e-36,-0.000000000e+00,0.000000000e+00
-4.497322770e-34,1.511121640e-33,5.393436159e-36,-1.925123432e-36,-0.000000000e+00,0.000000000e+00
-4.434873782e-34,1.515652557e-33,4.262535413e-36,1.179323448e-36,-0.000000000e+00,0.000000000e+00
-4.401774351e-34,1.521698388e-33,2.339992174e-36,2.789842197e-36,-0.000000000e+00,0.000000000e+00
-4.400988051e-34,1.527051353e-33,3.262165723e-37,3.098509515e-36,-0.000000000e+00,0.000000000e+00
-4.426940771e-34,1.530100052e-33,-1.263029734e-36,2.444009370e-36,-0.000000000e+00,0.000000000e+00
-4.467937690e-34,1.530182512e-33,-2.129632190e-36,1.268541301e-36,-0.000000000e+00,0.000000000e+00
-4.509875930e-34,1.527651823e-33,-2.209710251e-36,2.329139562e-38,-0.000000000e+00,0.000000000e+00
-4.540231740e-34,1.523649320e-33,-1.646813628e-36,-9.292866892e-37,-0.000000000e+00,0.000000000e+00
-4.551272546e-34,1.519668375e-33,-7.237290144e-37,-1.384345184e-36,-0.000000000e+00,0.000000000e+00
-4.541696766e-34,1.517051334e-33,2.297040920e-37,-1.317074787e-36,-0.000000000e+00,0.000000000e+00
-4.516369282e-34,1.516575380e-33,9.287036395e-37,-8.566078754e-37,-0.000000000e+00,0.000000000e+00
-4.484359684e-34,1.518247915e-33,1.202685860e-36,-2.232708574e-37,-0.000000000e+00,0.000000000e+00
-4.455948304e-34,1.521361076e-33,1.026081005e-36,3.497550461e-37,0.000000000e+00,0.000000000e+00
-4.439515231e-34,1.524771867e-33,5.067126097e-37,6.869514346e-37,-0.000000000e+00,0.000000000e+00
-4.439207268e-34,1.527305340e-33,-1.607899727e-37,7.142891328e-37,-0.000000000e+00,0.000000000e+00
-4.454004442e-34,1.528144666e-33,-7.603589248e-37,4.670544994e-37,-0.000000000e+00,0.000000000e+00
-4.478370129e-34,1.527082851e-33,-1.118791253e-36,6.375616068e-38,-0.000000000e+00,0.000000000e+00
-4.504200044e-34,1.524561305e-33,-1.151202523e-36,-3.420762581e-37,-0.000000000e+00,0.000000000e+00
-4.523421878e-34,1.521492679e-33,-8.766495060e-37,-6.150549364e-37,-0.000000000e+00,0.000000000e+00
-4.530440043e-34,1.518935642e-33,-4.022629817e-37,-6.791970916e-37,-0.000000000e+00,0.000000000e+00
-4.523705830e-34,1.517734779e-33,1.167110086e-37,-5.357782714e-37,-0.000000000e+00,0.000000000e+00
-4.505986791e-34,1.518245872e-33,5.272993183e-37,-2.546359547e-37,-0.000000000e+00,0.000000000e+00
-4.483315727e-34,1.520234369e-33,7.240614260e-37,5.563796144e-38,-0.000000000e+00,0.000000000e+00
-4.462994762e-34,1.522974660e-33,6.763704462e-37,2.870558957e-37,-0.000000000e+00,0.000000000e+00
-4.451297377e-34,1.525510498e-33,4.310858233e-37,3.676254162e-37,-0.000000000e+00,0.000000000e+00
-4.451576364e-34,1.526984669e-33,9.169638505e-38,2.817364401e-37,-0.000000000e+00,0.000000000e+00
-4.463336465e-34,1.526925706e-33,-2.181185748e-37,7.029914371e-38,-0.000000000e+00,0.000000000e+00
-4.482519054e-34,1.525396844e-33,-3.944761131e-37,-1.876167617e-37,-0.000000000e+00,0.000000000e+00
-4.502871008e-34,1.522960833e-33,-3.845089940e-37,-4.040238776e-37,-0.000000000e+00,0.000000000e+00
-4.517945417e-34,1.520476949e-33,-1.998838735e-37,-5.115955933e-37,-0.000000000e+00,0.000000000e+00
-4.523103839e-34,1.518802335e-33,9.047342319e-38,-4.837866512e-37,-0.000000000e+00,0.000000000e+00
-4.516907540e-34,1.518500356e-33,3.850930489e-37,-3.396204484e-37,-0.000000000e+00,0.000000000e+00
-4.501487878e-34,1.519654209e-33,5.836571822e-37,-1.328443443e-37,-0.000000000e+00,0.000000000e+00
-4.481807655e-34,1.521846800e-33,6.188982660e-37,6.957349720e-38,-0.000000000e+00,0.000000000e+00
-4.464065729e-34,1.524310852e-33,4.769499404e-37,2.114044961e-37,-0.000000000e+00,0.000000000e+00
-4.453753212e-34,1.526195748e-33,2.003246268e-37,2.651475235e-37,-0.000000000e+00,0.000000000e+00
-4.453965370e-34,1.526859043e-33,-1.267829168e-37,2.382783547e-37,-0.000000000e+00,0.000000000e+00
-4.464483341e-34,1.526083480e-33,-4.057561043e-37,1.664731298e-37,-0.000000000e+00,0.000000000e+00
-4.481894759e-34,1.524146802e-33,-5.545941992e-37,9.717290885e-38,-0.000000000e+00,0.000000000e+00
-4.500699484e-34,1.521722250e-33,-5.330441910e-37,7.007030859e-38,-0.000000000e+00,0.000000000e+00
-4.515045335e-34,1.519645191e-33,-3.542134195e-37,1.018263335e-37,-0.000000000e+00,0.000000000e+00
-4.520550233e-34,1.518626355e-33,-7.937872098e-38,1.804257463e-37,-0.000000000e+00,0.000000000e+00
-4.515647420e-34,1.519009585e-33,2.020656123e-37,2.708321939e-37,-0.000000000e+00,0.000000000e+00
-4.502043274e-34,1.520656225e-33,4.010530627e-37,3.294070155e-37,-0.000000000e+00,0.000000000e+00
-4.484154360e-34,1.522994777e-33,4.567443125e-37,3.214177777e-37,0.000000000e+00,0.000000000e+00
-4.467705859e-34,1.525218147e-33,3.552377584e-37,2.349756549e-37,-0.000000000e+00,0.000000000e+00
-4.457930863e-34,1.526560742e-33,1.333807016e-37,8.620589372e-38,-0.000000000e+00,0.000000000e+00
-4.457930863e-34,1.526560742e-33,-1.333807016e-37,-8.620589372e-38,-0.000000000e+00,0.000000000e+00
-4.467705859e-34,1.525218147e-33,-3.552377584e-37,-2.349756549e-37,-0.000000000e+00,0.000000000e+00
-4.484154360e-34,1.522994777e-33,-4.567443125e-37,-3.214177777e-37,-0.000000000e+00,0.000000000e+00
-4.502043274e-34,1.520656225e-33,-4.010530627e-37,-3.294070155e-37,-0.000000000e+00,0.000000000e+00
-4.515647420e-34,1.519009585e-33,-2.020656123e-37,-2.708321939e-37,-0.000000000e+00,0.000000000e+00
-4.520550233e-34,1.518626355e-33,7.937872098e-38,-1.804257463e-37,-0.000000000e+00,0.000000000e+00
-4.515045335e-34,1.519645191e-33,3.542134195e-37,-1.018263335e-37,-0.000000000e+00,0.000000000e+00
-4.500699484e-34,1.521722250e-33,5.330441910e-37,-7.007030859e-38,-0.000000000e+00,0.000000000e+00
-4.481894759e-34,1.524146802e-33,5.545941992e-37,-9.717290885e-38,-0.000000000e+00,0.000000000e+00
-4.464483341e-34,1.526083480e-33,4.057561043e-37,-1.664731298e-37,-0.000000000e+00,0.000000000e+00
-4.453965370e-34,1.526859043e-33,1.267829168e-37,-2.382783547e-37,-0.000000000e+00,0.000000000e+00
-4.453753212e-34,1.526195748e-33,-2.003246268e-37,-2.651475235e-37,-0.000000000e+00,0.000000000e+00
-4.464065729e-34,1.524310852e-33,-4.769499404e-37,-2.114044961e-37,-0.000000000e+00,0.000000000e+00
-4.481807655e-34,1.521846800e-33,-6.188982660e-37,-6.957349720e-38,-0.000000000e+00,0.000000000e+00
-4.501487878e-34,1.519654209e-33,-5.836571822e-37,1.328443443e-37,-0.000000000e+00,0.000000000e+00
-4.516907540e-34,1.518500356e-33,-3.850930489e-37,3.396204484e-37,-0.000000000e+00,0.000000000e+00
-4.523103839e-34,1.518802335e-33,-9.047342319e-38,4.837866512e-37,-0.000000000e+00,0.000000000e+00
-4.517945417e-34,1.520476949e-33,1.998838735e-37,5.115955933e-37,-0.000000000e+00,0.000000000e+00
-4.502871008e-34,1.522960833e-33,3.845089940e-37,4.040238776e-37,-0.000000000e+00,0.000000000e+00
-4.482519054e-34,1.525396844e-33,3.944761131e-37,1.876167617e-37,-0.000000000e+00,0.000000000e+00
-4.463336465e-34,1.526925706e-33,2.181185748e-37,-7.029914371e-38,-0.000000000e+00,0.000000000e+00
-4.451576364e-34,1.526984669e-33,-9.169638505e-38,-2.817364401e-37,-0.000000000e+00,0.000000000e+00
-4.451297377e-34,1.525510498e-33,-4.310858233e-37,-3.676254162e-37,-0.000000000e+00,0.000000000e+00
-4.462994762e-34,1.522974660e-33,-6.763704462e-37,-2.870558957e-37,-0.000000000e+00,0.000000000e+00
-4.483315727e-34,1.520234369e-33,-7.240614260e-37,-5.563796144e-38,-0.000000000e+00,0.000000000e+00
-4.505986791e-34,1.518245872e-33,-5.272993183e-37,2.546359547e-37,-0.000000000e+00,0.000000000e+00
-4.523705830e-34,1.517734779e-33,-1.167110086e-37,5.357782714e-37,-0.000000000e+00,0.000000000e+00
-4.530440043e-34,1.518935642e-33,4.022629817e-37,6.791970916e-37,-0.000000000e+00,0.000000000e+00
-4.523421878e-34,1.521492679e-33,8.766495060e-37,6.150549364e-37,-0.000000000e+00,0.000000000e+00
-4.504200044e-34,1.524561305e-33,1.151202523e-36,3.420762581e-37,0.000000000e+00,0.000000000e+00
