Re_px,Im_px,Re_py,Im_py,Re_pz,Im_pz
1.921593e-32,5.016690e-34,1.374056e-34,8.571204e-35,0.000000e+00,0.000000e+00
1.915966e-32,5.770214e-34,3.534156e-35,7.313005e-35,0.000000e+00,0.000000e+00
1.911665e-32,6.375906e-34,-8.019711e-36,5.298099e-35,0.000000e+00,0.000000e+00
1.906382e-32,6.725930e-34,-2.602275e-35,2.884855e-35,0.000000e+00,-0.000000e+00
1.902074e-32,6.792058e-34,-2.880340e-35,5.515339e-36,0.000000e+00,0.000000e+00
1.900114e-32,6.615019e-34,-2.225407e-35,-1.245654e-35,0.000000e+00,0.000000e+00
1.900853e-32,6.290981e-34,-1.167875e-35,-2.204434e-35,0.000000e+00,0.000000e+00
1.903634e-32,5.942892e-34,-1.662058e-36,-2.252881e-35,0.000000e+00,0.000000e+00
1.907132e-32,5.684898e-34,4.695565e-36,-1.556801e-35,0.000000e+00,0.000000e+00
1.909895e-32,5.590581e-34,6.271083e-36,-4.591292e-36,0.000000e+00,0.000000e+00
1.910878e-32,5.674560e-34,3.837792e-36,6.286552e-36,0.000000e+00,0.000000e+00
1.909805e-32,5.892712e-34,-5.649675e-37,1.349376e-35,0.000000e+00,0.000000e+00
1.907213e-32,6.160403e-34,-4.568857e-36,1.500032e-35,0.000000e+00,0.000000e+00
1.904199e-32,6.382444e-34,-6.381991e-36,1.079478e-35,0.000000e+00,0.000000e+00
1.901972e-32,6.484900e-34,-5.360423e-36,2.716113e-36,0.000000e+00,0.000000e+00
1.901379e-32,6.438528e-34,-2.085519e-36,-6.277714e-36,0.000000e+00,0.000000e+00
1.902597e-32,6.266520e-34,2.023410e-36,-1.314863e-35,0.000000e+00,0.000000e+00
1.905087e-32,6.034533e-34,5.366739e-36,-1.577997e-35,0.000000e+00,0.000000e+00
1.907828e-32,5.826814e-34,6.816083e-36,-1.361938e-35,0.000000e+00,0.000000e+00
1.909732e-32,5.716743e-34,6.109881e-36,-7.769012e-36,0.000000e+00,0.000000e+00
1.910070e-32,5.741811e-34,3.861851e-36,-5.158243e-37,0.000000e+00,0.000000e+00
1.908752e-32,5.891394e-34,1.212104e-36,5.519791e-36,0.000000e+00,0.000000e+00
1.906350e-32,6.111247e-34,-7.096287e-37,8.316378e-36,0.000000e+00,0.000000e+00
