Re_px,Im_px,Re_py,Im_py,Re_pz,Im_pz
1.921767e-32,4.933520e-34,1.329632e-34,8.932041e-35,0.000000e+00,0.000000e+00
1.915644e-32,5.684927e-34,3.258191e-35,7.798739e-35,0.000000e+00,0.000000e+00
1.910899e-32,6.315702e-34,-8.458995e-36,5.795188e-35,0.000000e+00,0.000000e+00
1.905374e-32,6.710915e-34,-2.416062e-35,3.259259e-35,0.000000e+00,0.000000e+00
1.901111e-32,6.827521e-34,-2.533227e-35,6.826573e-36,0.000000e+00,0.000000e+00
1.899472e-32,6.688577e-34,-1.839617e-35,-1.428317e-35,0.000000e+00,0.000000e+00
1.900698e-32,6.375993e-34,-8.854787e-36,-2.695512e-35,0.000000e+00,0.000000e+00
1.903954e-32,6.007398e-34,-1.054265e-36,-2.966463e-35,0.000000e+00,0.000000e+00
1.907733e-32,5.703191e-34,2.550306e-36,-2.346909e-35,0.000000e+00,0.000000e+00
1.910468e-32,5.553274e-34,1.713684e-36,-1.160962e-35,0.000000e+00,0.000000e+00
1.911117e-32,5.593196e-34,-1.956691e-36,1.489676e-36,0.000000e+00,0.000000e+00
1.909530e-32,5.796675e-34,-5.923720e-36,1.153172e-35,0.000000e+00,0.000000e+00
1.906460e-32,6.086590e-34,-7.865008e-36,1.558308e-35,0.000000e+00,0.000000e+00
1.903228e-32,6.360976e-34,-6.615524e-36,1.287606e-35,0.000000e+00,0.000000e+00
1.901191e-32,6.526033e-34,-2.571412e-36,4.944068e-36,0.000000e+00,0.000000e+00
1.901191e-32,6.526033e-34,2.571412e-36,-4.944068e-36,0.000000e+00,0.000000e+00
1.903228e-32,6.360976e-34,6.615524e-36,-1.287606e-35,0.000000e+00,0.000000e+00
1.906460e-32,6.086590e-34,7.865008e-36,-1.558308e-35,0.000000e+00,0.000000e+00
1.909530e-32,5.796675e-34,5.923720e-36,-1.153172e-35,0.000000e+00,0.000000e+00
1.911117e-32,5.593196e-34,1.956691e-36,-1.489676e-36,0.000000e+00,0.000000e+00
1.910468e-32,5.553274e-34,-1.713684e-36,1.160962e-35,0.000000e+00,0.000000e+00
1.907733e-32,5.703191e-34,-2.550306e-36,2.346909e-35,0.000000e+00,0.000000e+00
1.903954e-32,6.007398e-34,1.054265e-36,2.966463e-35,0.000000e+00,0.000000e+00
1.900698e-32,6.375993e-34,8.854787e-36,2.695512e-35,0.000000e+00,0.000000e+00
1.899472e-32,6.688577e-34,1.839617e-35,1.428317e-35,0.000000e+00,0.000000e+00
1.901111e-32,6.827521e-34,2.533227e-35,-6.826573e-36,0.000000e+00,0.000000e+00
1.905374e-32,6.710915e-34,2.416062e-35,-3.259259e-35,0.000000e+00,0.000000e+00
1.910899e-32,6.315702e-34,8.458995e-36,-5.795188e-35,0.000000e+00,0.000000e+00
1.915644e-32,5.684927e-34,-3.258191e-35,-7.798739e-35,0.000000e+00,0.000000e+00
1.921767e-32,4.933520e-34,-1.329632e-34,-8.932041e-35,0.000000e+00,0.000000e+00
1.951120e-32,5.509854e-34,3.326211e-35,7.667252e-35,0.000000e+00,0.000000e+00
1.948562e-32,6.491495e-34,6.146365e-36,6.839134e-35,0.000000e+00,0.000000e+00
1.943148e-32,7.293431e-34,-1.601280e-35,5.050474e-35,0.000000e+00,0.000000e+00
1.936551e-32,7.791535e-34,-2.568321e-35,2.758152e-35,0.000000e+00,0.000000e+00
1.931318e-32,7.934804e-34,-2.491950e-35,4.512108e-36,0.000000e+00,0.000000e+00
1.929064e-32,7.754656e-34,-1.783946e-35,-1.396918e-35,0.000000e+00,0.000000e+00
1.930118e-32,7.356033e-34,-8.973470e-36,-2.442630e-35,0.000000e+00,0.000000e+00
1.933570e-32,6.888007e-34,-2.092784e-36,-2.558354e-35,0.000000e+00,0.000000e+00
1.937730e-32,6.502310e-34,7.136297e-37,-1.860090e-35,0.000000e+00,0.000000e+00
1.940817e-32,6.311733e-34,-6.004553e-37,-6.674120e-36,0.000000e+00,0.000000e+00
1.941629e-32,6.360480e-34,-4.369003e-36,5.928941e-36,0.000000e+00,0.000000e+00
1.939962e-32,6.615086e-34,-8.096786e-36,1.511790e-35,0.000000e+00,0.000000e+00
1.936628e-32,6.978431e-34,-9.554197e-36,1.815293e-35,0.000000e+00,0.000000e+00
1.933090e-32,7.322421e-34,-7.674700e-36,1.439962e-35,0.000000e+00,0.000000e+00
1.930851e-32,7.529359e-34,-2.930953e-36,5.446430e-36,0.000000e+00,0.000000e+00
1.930851e-32,7.529359e-34,2.930953e-36,-5.446430e-36,0.000000e+00,0.000000e+00
1.933090e-32,7.322421e-34,7.674700e-36,-1.439962e-35,0.000000e+00,0.000000e+00
1.936628e-32,6.978431e-34,9.554197e-36,-1.815293e-35,0.000000e+00,0.000000e+00
1.939962e-32,6.615086e-34,8.096786e-36,-1.511790e-35,0.000000e+00,0.000000e+00
1.941629e-32,6.360480e-34,4.369003e-36,-5.928941e-36,0.000000e+00,0.000000e+00
1.940817e-32,6.311733e-34,6.004553e-37,6.674120e-36,0.000000e+00,0.000000e+00
1.937730e-32,6.502310e-34,-7.136297e-37,1.860090e-35,0.000000e+00,0.000000e+00
1.933570e-32,6.888007e-34,2.092784e-36,2.558354e-35,0.000000e+00,0.000000e+00
1.930118e-32,7.356033e-34,8.973470e-36,2.442630e-35,0.000000e+00,0.000000e+00
1.929064e-32,7.754656e-34,1.783946e-35,1.396918e-35,0.000000e+00,0.000000e+00
1.931318e-32,7.934804e-34,2.491950e-35,-4.512108e-36,0.000000e+00,0.000000e+00
1.936551e-32,7.791535e-34,2.568321e-35,-2.758152e-35,0.000000e+00,0.000000e+00
1.943148e-32,7.293431e-34,1.601280e-35,-5.050474e-35,0.000000e+00,0.000000e+00
1.948562e-32,6.491495e-34,-6.146365e-36,-6.839134e-35,0.000000e+00,0.000000e+00
1.951120e-32,5.509854e-34,-3.326211e-35,-7.667252e-35,0.000000e+00,0.000000e+00
1.957024e-32,5.936500e-34,-6.744538e-36,5.688705e-35,0.000000e+00,0.000000e+00
1.956752e-32,7.108682e-34,-1.551870e-35,5.030581e-35,0.000000e+00,0.000000e+00
1.951430e-32,8.056308e-34,-2.379655e-35,3.591374e-35,0.000000e+00,0.000000e+00
1.944167e-32,8.638914e-34,-2.606506e-35,1.749377e-35,0.000000e+00,0.000000e+00
1.938207e-32,8.799860e-34,-2.188088e-35,-7.023588e-37,0.000000e+00,0.000000e+00
1.935485e-32,8.578916e-34,-1.376361e-35,-1.462587e-35,0.000000e+00,0.000000e+00
1.936436e-32,8.102004e-34,-5.257679e-36,-2.142701e-35,0.000000e+00,0.000000e+00
1.940093e-32,7.546350e-34,5.632725e-37,-2.019095e-35,0.000000e+00,0.000000e+00
1.944604e-32,7.091443e-34,2.120116e-36,-1.215742e-35,0.000000e+00,0.000000e+00
1.948003e-32,6.870006e-34,-2.919846e-37,-3.419811e-37,0.000000e+00,0.000000e+00
1.948947e-32,6.933233e-34,-4.822999e-36,1.134252e-35,0.000000e+00,0.000000e+00
1.947190e-32,7.240365e-34,-8.925003e-36,1.921568e-35,0.000000e+00,0.000000e+00
