Frequency_Hz,Absorption_W
150000000000000.0,1.7307143477126658e-16
151004016064257.03,1.768971509137263e-16
152008032128514.06,1.8080303306403537e-16
153012048192771.1,1.84791305971497e-16
154016064257028.12,1.8886432728543776e-16
155020080321285.12,1.9302459329276056e-16
156024096385542.16,1.9727474454811763e-16
157028112449799.2,2.0161757138926112e-16
158032128514056.22,2.0605601931043594e-16
159036144578313.25,2.1059319414232471e-16
160040160642570.28,2.1523236695842082e-16
161044176706827.3,2.1997697859527497e-16
162048192771084.34,2.2483064363851323e-16
163052208835341.38,2.297971536891155e-16
164056224899598.4,2.3488047968649316e-16
165060240963855.44,2.400847730286931e-16
166064257028112.44,2.4541436519798144e-16
167068273092369.47,2.5087376557577013e-16
168072289156626.5,2.5646765711822744e-16
169076305220883.53,2.622008895677862e-16
170080321285140.56,2.6807846990148857e-16
171084337349397.6,2.741055497700201e-16
172088353413654.62,2.80287409766749e-16
173092369477911.66,2.8662944048819455e-16
174096385542168.7,2.9313712050855737e-16
175100401606425.7,2.9981599159068915e-16
176104417670682.72,3.066716316896666e-16
177108433734939.75,3.1370962656350682e-16
178112449799196.78,3.2093554107369196e-16
179116465863453.8,3.2835489151528003e-16
180120481927710.84,3.359731205374116e-16
181124497991967.88,3.437955763716441e-16
182128514056224.9,3.5182749814957765e-16
183132530120481.94,3.600740090384416e-16
184136546184738.97,3.6854011873736496e-16
185140562248996.0,3.772307365540678e-16
186144578313253.0,3.8615069583291563e-16
187148594377510.03,3.953047899585666e-16
188152610441767.06,4.0469781955763007e-16
189156626506024.1,4.1433464991845867e-16
190160642570281.12,4.24220277105278e-16
191164658634538.16,4.3435990081455025e-16
192168674698795.2,4.447590017546663e-16
193172690763052.22,4.55423421254202e-16
194176706827309.25,4.663594409284922e-16
195180722891566.25,4.775738605450949e-16
196184738955823.3,4.890740726963778e-16
197188755020080.3,5.008681334650259e-16
198192771084337.34,5.129648289059454e-16
199196787148594.38,5.253737378127501e-16
200200803212851.4,5.381052918444835e-16
201204819277108.44,5.511708346212714e-16
202208835341365.47,5.645826818319086e-16
203212851405622.5,5.7835418471576085e-16
204216867469879.5,5.924997994757696e-16
205220883534136.56,6.070351652389421e-16
206224899598393.56,6.219771930883893e-16
207228915662650.6,6.373441684152203e-16
208232931726907.62,6.531558683235431e-16
209236947791164.66,6.694336949811584e-16
210240963855421.7,6.862008245137752e-16
211244979919678.72,7.034823691208681e-16
212248995983935.75,7.213055473247577e-16
213253012048192.78,7.396998533998563e-16
214257028112449.8,7.586972118049364e-16
215261044176706.8,7.783320956598948e-16
216265060240963.84,7.986415799535209e-16
217269076305220.88,8.196652905977628e-16
218273092369477.9,8.414452006731816e-16
219277108433734.94,8.640252172663975e-16
220281124497991.97,8.874504995641001e-16
221285140562249.0,9.117664562250912e-16
222289156626506.03,9.370173935118988e-16
223293172690763.06,9.632448310245254e-16
224297188755020.06,9.904855720358952e-16
225301204819277.12,1.0187697064360464e-15
226305220883534.12,1.0481188212660695e-15
227309236947791.2,1.0785447692038876e-15
228313253012048.2,1.1100493629464096e-15
229317269076305.22,1.1426252904308287e-15
230321285140562.25,1.1762583709901636e-15
231325301204819.28,1.2109310219918716e-15
232329317269076.3,1.2466265446201677e-15
233333333333333.3,1.2833336510925874e-15
234337349397590.38,1.3210506124139159e-15
235341365461847.38,1.3597885251733276e-15
236345381526104.44,1.3995734378205216e-15
237349397590361.44,1.440447360948409e-15
238353413654618.47,1.4824684280257668e-15
239357429718875.5,1.5257106165562894e-15
240361445783132.53,1.5702634692834727e-15
241365461847389.56,1.6162321874030634e-15
242369477911646.6,1.6637383300506242e-15
243373493975903.62,1.7129211602014615e-15
244377510040160.62,1.7639394058872462e-15
245381526104417.7,1.8169727911522255e-15
246385542168674.7,1.8722220328986886e-15
247389558232931.75,1.92990502587247e-15
248393574297188.75,1.990245771080345e-15
249397590361445.78,2.05345187342161e-15
250401606425702.8,2.1196776536658782e-15
251405622489959.84,2.188975376792227e-15
252409638554216.88,2.2612480758159316e-15
253413654618473.88,2.3362300595682928e-15
254417670682730.94,2.413523380097464e-15
255421686746987.94,2.4926974422057834e-15
256425702811245.0,2.5734201989754774e-15
257429718875502.0,2.655564043474199e-15
258433734939759.03,2.739244061713779e-15
259437751004016.06,2.824787349837432e-15
260441767068273.1,2.9126605174913878e-15
261445783132530.12,3.0033794189902726e-15
262449799196787.16,3.0974068041182544e-15
263453815261044.2,3.1950378271578635e-15
264457831325301.2,3.2962951965544607e-15
265461847389558.25,3.4008936830546628e-15
266465863453815.25,3.508339468474463e-15
267469879518072.3,3.6181506491716405e-15
268473895582329.3,3.730063749663591e-15
269477911646586.34,3.844071906300807e-15
270481927710843.38,3.960275386323601e-15
271485943775100.4,4.078679728957936e-15
272489959839357.44,4.199102047553922e-15
273493975903614.44,4.3212253723461136e-15
274497991967871.5,4.44469774619853e-15
275502008032128.5,4.569166819966013e-15
276506024096385.56,4.694256093947423e-15
277510040160642.56,4.8195471797245334e-15
278514056224899.6,4.944587741378731e-15
279518072289156.62,5.068908893913213e-15
280522088353413.66,5.192042816755118e-15
281526104417670.7,5.313537423609363e-15
282530120481927.7,5.4329627081730385e-15
283534136546184.75,5.549904785932377e-15
284538152610441.75,5.663949699890482e-15
285542168674698.8,5.774665341282229e-15
286546184738955.8,5.8815909744049646e-15
287550200803212.9,5.9842390588315406e-15
288554216867469.9,6.0821079884942666e-15
289558232931726.9,6.174700893670973e-15
290562248995983.94,6.261545079268802e-15
291566265060241.0,6.342207609635394e-15
292570281124498.0,6.41630349192157e-15
293574297188755.0,6.483493011346088e-15
294578313253012.06,6.5434644141112354e-15
295582329317269.06,6.595898976943022e-15
296586345381526.1,6.6404201701467564e-15
297590361445783.1,6.676539407840574e-15
298594377510040.1,6.703626112123428e-15
299598393574297.2,6.720939388074386e-15
300602409638554.25,6.7277458539675085e-15
301606425702811.25,6.723505137729084e-15
302610441767068.25,6.708052149680691e-15
303614457831325.3,6.681687745787609e-15
304618473895582.4,6.645129942284986e-15
305622489959839.4,6.5993462426917024e-15
306626506024096.4,6.545333747993942e-15
307630522088353.4,6.483922846679928e-15
308634538152610.44,6.4156718545402196e-15
309638554216867.5,6.34089917116002e-15
310642570281124.5,6.259842397948375e-15
311646586345381.5,6.172846691599871e-15
312650602409638.56,6.080450427763234e-15
313654618473895.6,5.983321578511383e-15
314658634538152.6,5.882128342069397e-15
315662650602409.6,5.7774634959223685e-15
316666666666666.6,5.669858525044541e-15
317670682730923.7,5.559828178647924e-15
318674698795180.75,5.4478820028737565e-15
319678714859437.75,5.3345052522167e-15
320682730923694.75,5.220145718712536e-15
321686746987951.8,5.105216340200724e-15
322690763052208.9,4.990099007309829e-15
323694779116465.9,4.875144161112356e-15
324698795180722.9,4.760671296856804e-15
325702811244979.9,4.64697167031192e-15
326706827309236.94,4.5343116245018215e-15
327710843373494.0,4.422936377094734e-15
328714859437751.0,4.3130741063464354e-15
329718875502008.0,4.204939339485479e-15
330722891566265.06,4.098734228146879e-15
331726907630522.1,3.994646303027242e-15
332730923694779.1,3.892842322742766e-15
333734939759036.1,3.793459900183766e-15
334738955823293.2,3.696600366166285e-15
335742971887550.2,3.6023260904267795e-15
336746987951807.25,3.5106631627865695e-15
