Frequency_Hz,Absorption_W
150000000000000.0,2.257825412898917e-16
151004016064257.03,2.309424510661096e-16
152008032128514.06,2.362264567342126e-16
153012048192771.1,2.416370304206947e-16
154016064257028.12,2.471765725450642e-16
155020080321285.12,2.5284741164817077e-16
156024096385542.16,2.586518067026827e-16
157028112449799.2,2.6459195211578063e-16
158032128514056.22,2.706699855839467e-16
159036144578313.25,2.768879989006398e-16
160040160642570.28,2.8324805175169914e-16
161044176706827.3,2.897521884631516e-16
162048192771084.34,2.9640245759481713e-16
163052208835341.38,3.0320093420406795e-16
164056224899598.4,3.1014974454091344e-16
165060240963855.44,3.1725109288151076e-16
166064257028112.44,3.2450729016544535e-16
167068273092369.47,3.3192078407507734e-16
168072289156626.5,3.394941901848205e-16
169076305220883.53,3.472303238152855e-16
170080321285140.56,3.551322322519295e-16
171084337349397.6,3.632032270293211e-16
172088353413654.62,3.7144691603880203e-16
173092369477911.66,3.7986723528669656e-16
174096385542168.7,3.8846848020961573e-16
175100401606425.7,3.9725533653926457e-16
176104417670682.72,4.0623291079827913e-16
177108433734939.75,4.154067605973424e-16
178112449799196.78,4.2478292498881996e-16
179116465863453.8,4.3436795521031394e-16
180120481927710.84,4.441689462198312e-16
181124497991967.88,4.541935694802682e-16
182128514056224.9,4.644501074918991e-16
183132530120481.94,4.749474905954549e-16
184136546184738.97,4.8569533657255175e-16
185140562248996.0,4.967039935520402e-16
186144578313253.0,5.079845866870886e-16
187148594377510.03,5.195490689944407e-16
188152610441767.06,5.314102766392001e-16
189156626506024.1,5.43581988799409e-16
190160642570281.12,5.560789920465306e-16
191164658634538.16,5.689171489210661e-16
192168674698795.2,5.821134700554967e-16
193172690763052.22,5.9568618878662e-16
194176706827309.25,6.096548366921148e-16
195180722891566.25,6.240403178672048e-16
196184738955823.3,6.388649790158704e-16
197188755020080.3,6.541526715559179e-16
198192771084337.34,6.699288009333458e-16
199196787148594.38,6.862203572149973e-16
200200803212851.4,7.030559198216762e-16
201204819277108.44,7.204656280294245e-16
202208835341365.47,7.384811077129052e-16
203212851405622.5,7.571353438740407e-16
204216867469879.5,7.764624880014097e-16
205220883534136.56,7.964975895040391e-16
206224899598393.56,8.172762416840602e-16
207228915662650.6,8.388341353149723e-16
208232931726907.62,8.612065172412698e-16
209236947791164.66,8.844275578063229e-16
210240963855421.7,9.085296394948567e-16
211244979919678.72,9.335425898151601e-16
212248995983935.75,9.594928936249776e-16
213253012048192.78,9.864029328060414e-16
214257028112449.8,1.0142903128576874e-15
215261044176706.8,1.0431673445791518e-15
216265060240963.84,1.073040752262563e-15
217269076305220.88,1.1039116755802393e-15
218273092369477.9,1.1357760191433515e-15
219277108433734.94,1.1686251812827757e-15
220281124497991.97,1.2024471633803206e-15
221285140562249.0,1.2372280263029586e-15
222289156626506.03,1.2729536259486556e-15
223293172690763.06,1.3096115311804094e-15
224297188755020.06,1.347193009809002e-15
225301204819277.12,1.385694965666523e-15
226305220883534.12,1.4251217237622848e-15
227309236947791.2,1.4654865899142657e-15
228313253012048.2,1.5068131525498025e-15
229317269076305.22,1.5491363423517344e-15
230321285140562.25,1.592503314255233e-15
231325301204819.28,1.6369742605548888e-15
232329317269076.3,1.682623299305909e-15
233333333333333.3,1.7295396060780133e-15
234337349397590.38,1.7778289681424883e-15
235341365461847.38,1.827615937813525e-15
236345381526104.44,1.8790467448067987e-15
237349397590361.44,1.9322930920553656e-15
238353413654618.47,1.9875568947282308e-15
239357429718875.5,2.045075905669688e-15
240361445783132.53,2.1051299612865646e-15
241365461847389.56,2.1680472148776034e-15
242369477911646.6,2.234209108634802e-15
243373493975903.62,2.3040518683283455e-15
244377510040160.62,2.3780609225516886e-15
245381526104417.7,2.456752953073433e-15
246385542168674.7,2.5406387849873305e-15
247389558232931.75,2.630160297194269e-15
248393574297188.75,2.725598258787223e-15
249397590361445.78,2.826958280076351e-15
250401606425702.8,2.9338599748495764e-15
251405622489959.84,3.0454749505573023e-15
252409638554216.88,3.1605679186041962e-15
253413654618473.88,3.2776733841779064e-15
254417670682730.94,3.3953836076327705e-15
255421686746987.94,3.5126594976930767e-15
256425702811245.0,3.629052931939785e-15
257429718875502.0,3.744771224334153e-15
258433734939759.03,3.860593564657632e-15
259437751004016.06,3.9777085277405974e-15
260441767068273.1,4.0975457552653764e-15
261445783132530.12,4.221629815988765e-15
262449799196787.16,4.351424566508924e-15
263453815261044.2,4.488105777438929e-15
264457831325301.2,4.632236706338812e-15
265461847389558.25,4.783439758512685e-15
266465863453815.25,4.940303713991316e-15
267469879518072.3,5.100772664824841e-15
268473895582329.3,5.262964952253961e-15
269477911646586.34,5.425935483653138e-15
270481927710843.38,5.589823832738187e-15
271485943775100.4,5.75530166273581e-15
272489959839357.44,5.92278216461216e-15
273493975903614.44,6.09197880176503e-15
274497991967871.5,6.262044773428948e-15
275502008032128.5,6.4320070823703865e-15
276506024096385.56,6.601028198725189e-15
277510040160642.56,6.768366736281288e-15
278514056224899.6,6.9332735627086384e-15
279518072289156.62,7.095006656092404e-15
280522088353413.66,7.252927377830942e-15
281526104417670.7,7.406585769979909e-15
282530120481927.7,7.555751338031995e-15
283534136546184.75,7.700380437662282e-15
284538152610441.75,7.840535935785898e-15
285542168674698.8,7.976298522836403e-15
286546184738955.8,8.107708694852427e-15
287550200803212.9,8.234750940730461e-15
288554216867469.9,8.35736696854037e-15
289558232931726.9,8.475476878232058e-15
290562248995983.94,8.588988112824971e-15
291566265060241.0,8.697777984877526e-15
292570281124498.0,8.80164315134634e-15
293574297188755.0,8.900213947955668e-15
294578313253012.06,8.992835328942045e-15
295582329317269.06,9.07842697059654e-15
296586345381526.1,9.155359278821756e-15
297590361445783.1,9.2214154485607e-15
298594377510040.1,9.273927475852008e-15
299598393574297.2,9.310139847112214e-15
300602409638554.25,9.327757177939145e-15
301606425702811.25,9.32551426940566e-15
302610441767068.25,9.303550613638018e-15
303614457831325.3,9.26343159946427e-15
304618473895582.4,9.20780260632831e-15
305622489959839.4,9.139791356786194e-15
306626506024096.4,9.06232078866869e-15
307630522088353.4,8.977482171941775e-15
308634538152610.44,8.886117128116717e-15
