Re_px,Im_px,Re_py,Im_py,Re_pz,Im_pz,x,y,z,Re_alpha,Im_alpha,Re_Ex,Im_Ex,Re_Ey,Im_Ey,Re_Ez,Im_Ez
1.920096542e-32,4.948464140e-34,1.988744208e-34,9.260916119e-35,0.000000000e+00,0.000000000e+00,-3.658973524e-09,-3.260454133e-08,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.920252189e-32,5.777526830e-34,4.108631881e-35,7.787424804e-35,0.000000000e+00,0.000000000e+00,2.052869831e-08,2.677443255e-07,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.921507305e-32,6.459611824e-34,-5.355338318e-35,5.188477236e-35,0.000000000e+00,0.000000000e+00,9.980842926e-10,6.223450679e-07,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.906051764e-32,6.688535470e-34,-1.646674397e-35,3.350690059e-35,0.000000000e+00,0.000000000e+00,1.008183679e-09,8.842008838e-07,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.906178717e-32,6.811788359e-34,5.156250757e-35,1.076487288e-35,0.000000000e+00,0.000000000e+00,1.387596131e-08,1.206020983e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.933305096e-32,6.948227771e-34,-1.401309938e-35,-1.282891634e-35,0.000000000e+00,0.000000000e+00,6.374030029e-08,1.511151637e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.909830598e-32,6.389230262e-34,-1.141788589e-34,-2.935383237e-35,0.000000000e+00,0.000000000e+00,3.062888188e-08,1.823502246e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.910005210e-32,6.007331688e-34,-7.927062448e-35,-2.978560404e-35,0.000000000e+00,0.000000000e+00,-3.835256803e-09,2.089895602e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.872937697e-32,5.541597072e-34,-8.795203170e-35,-2.530728666e-35,0.000000000e+00,0.000000000e+00,-2.061464501e-08,2.439252629e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.870594763e-32,5.461042893e-34,-9.501867313e-35,-2.072757745e-35,0.000000000e+00,0.000000000e+00,-2.807525683e-08,2.619829024e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
