Re_px,Im_px,Re_py,Im_py,Re_pz,Im_pz,x,y,z,Re_alpha,Im_alpha,Re_Ex,Im_Ex,Re_Ey,Im_Ey,Re_Ez,Im_Ez
1.921548422e-32,5.066354690e-34,1.388419692e-34,8.545489272e-35,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.916247125e-32,5.818003170e-34,3.668678345e-35,7.259652312e-35,0.000000000e+00,0.000000000e+00,0.000000000e+00,3.000000000e-07,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.912214697e-32,6.402220229e-34,-7.018054174e-36,5.242022958e-35,0.000000000e+00,0.000000000e+00,0.000000000e+00,6.000000000e-07,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.907032140e-32,6.717764296e-34,-2.539562353e-35,2.863780149e-35,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.000000000e-07,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.902600625e-32,6.748895070e-34,-2.832270915e-35,5.996773733e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.200000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.900322657e-32,6.550131239e-34,-2.149866335e-35,-1.114853623e-35,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.500000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.900658960e-32,6.227401606e-34,-1.020086105e-35,-2.008810437e-35,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.800000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.903102506e-32,5.905280159e-34,8.039899103e-37,-2.039841068e-35,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.100000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.906464961e-32,5.690199238e-34,8.065562173e-36,-1.388623815e-35,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.400000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.909361241e-32,5.641039233e-34,1.005946459e-35,-3.897794743e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.700000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.910718693e-32,5.755928035e-34,7.258635734e-36,5.767322566e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,3.000000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.910135427e-32,5.978682313e-34,1.634259791e-36,1.199080234e-35,0.000000000e+00,0.000000000e+00,0.000000000e+00,3.300000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.907972464e-32,6.221921839e-34,-4.225594564e-36,1.317414142e-35,0.000000000e+00,0.000000000e+00,0.000000000e+00,3.600000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.905163664e-32,6.398611580e-34,-8.070635615e-36,9.545086976e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,3.900000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.902828703e-32,6.451355711e-34,-8.704829802e-36,2.874664059e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,4.200000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.901841106e-32,6.369929417e-34,-6.257234022e-36,-4.263622304e-36,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.500000000e-06,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
